[2025-08-13 16:18:15] Usuario: admin_wh | Acao: LOGOUT | Detalhes: Logout realizado - Nível: admin, Nome: Admin WH | Status: sucesso
[2025-08-18 09:16:50] Usuario: admin_wh | Acao: LOGOUT | Detalhes: Logout realizado - Nível: admin, Nome: Admin WH | Status: sucesso
[2025-08-18 09:16:57] Usuario: admin_wh | Acao: LOGIN | Detalhes: Login realizado com sucesso - Nível: admin, Nome: Admin WH | Status: sucesso
[2025-08-18 09:16:57] Usuario: admin_wh | Acao: ESCOLHER_EMPRESA | Detalhes: Empresa selecionada: empresa_wh.db | Status: sucesso
[2025-08-18 09:30:35] Usuario: admin_wh | Acao: LOGOUT | Detalhes: Logout realizado - Nível: admin, Nome: Admin WH | Status: sucesso
[2025-08-18 09:30:41] Usuario: tecnico_wh | Acao: LOGIN | Detalhes: Login realizado com sucesso - Nível: tecnico, Nome: Técnico WH | Status: sucesso
[2025-08-18 09:30:41] Usuario: tecnico_wh | Acao: ESCOLHER_EMPRESA | Detalhes: Empresa selecionada: empresa_wh.db | Status: sucesso
[2025-08-18 09:30:57] Usuario: tecnico_wh | Acao: LOGOUT | Detalhes: Logout realizado - Nível: tecnico, Nome: Técnico WH | Status: sucesso
[2025-08-18 09:31:04] Usuario: usuario_wh | Acao: LOGIN | Detalhes: Login realizado com sucesso - Nível: usuario, Nome: Usuário WH | Status: sucesso
[2025-08-18 09:31:04] Usuario: usuario_wh | Acao: ESCOLHER_EMPRESA | Detalhes: Empresa selecionada: empresa_wh.db | Status: sucesso
[2025-08-18 09:31:13] Usuario: usuario_wh | Acao: LOGOUT | Detalhes: Logout realizado - Nível: usuario, Nome: Usuário WH | Status: sucesso
[2025-08-18 09:31:19] Usuario: admin_wh | Acao: LOGIN | Detalhes: Login realizado com sucesso - Nível: admin, Nome: Admin WH | Status: sucesso
[2025-08-18 09:31:19] Usuario: admin_wh | Acao: ESCOLHER_EMPRESA | Detalhes: Empresa selecionada: empresa_wh.db | Status: sucesso
[2025-08-18 09:34:26] Usuario: admin_wh | Acao: LOGOUT | Detalhes: Logout realizado - Nível: admin, Nome: Admin WH | Status: sucesso
[2025-08-18 09:34:37] Usuario: usuario_wh | Acao: LOGIN | Detalhes: Login realizado com sucesso - Nível: usuario, Nome: Usuário WH | Status: sucesso
[2025-08-18 09:34:37] Usuario: usuario_wh | Acao: ESCOLHER_EMPRESA | Detalhes: Empresa selecionada: empresa_wh.db | Status: sucesso
[2025-08-18 09:34:44] Usuario: usuario_wh | Acao: LOGOUT | Detalhes: Logout realizado - Nível: usuario, Nome: Usuário WH | Status: sucesso
[2025-08-18 09:34:50] Usuario: admin_wh | Acao: LOGIN | Detalhes: Login realizado com sucesso - Nível: admin, Nome: Admin WH | Status: sucesso
[2025-08-18 09:34:50] Usuario: admin_wh | Acao: ESCOLHER_EMPRESA | Detalhes: Empresa selecionada: empresa_wh.db | Status: sucesso
[2025-08-18 11:41:17] Usuario: admin_wh | Acao: salvar_layout | Detalhes: sala_id=1 | Status: sucesso
[2025-08-18 12:08:28] Usuario: admin_wh | Acao: criar_cabo | Detalhes: Cabo USB-030 criado | Status: sucesso
[2025-08-18 12:08:28] Usuario: admin_wh | Acao: criar_conexao_cabo | Detalhes: Conexão de cabo 169 criada | Status: sucesso
[2025-08-18 12:11:20] Usuario: admin_wh | Acao: criar_cabo | Detalhes: Cabo USB-031 criado | Status: sucesso
[2025-08-18 12:11:20] Usuario: admin_wh | Acao: criar_conexao_cabo | Detalhes: Conexão de cabo 170 criada | Status: sucesso
[2025-08-18 12:15:28] Usuario: admin_wh | Acao: criar_cabo | Detalhes: Cabo USB-032 criado | Status: sucesso
[2025-08-18 12:15:28] Usuario: admin_wh | Acao: criar_conexao_cabo | Detalhes: Conexão de cabo 171 criada | Status: sucesso
[2025-08-18 12:16:21] Usuario: admin_wh | Acao: criar_cabo | Detalhes: Cabo HDM-036 criado | Status: sucesso
[2025-08-18 12:16:21] Usuario: admin_wh | Acao: criar_conexao_cabo | Detalhes: Conexão de cabo 172 criada | Status: sucesso
[2025-08-18 12:17:12] Usuario: admin_wh | Acao: criar_cabo | Detalhes: Cabo ETH-085 criado | Status: sucesso
[2025-08-18 12:17:12] Usuario: admin_wh | Acao: criar_conexao_cabo | Detalhes: Conexão de cabo 173 criada | Status: sucesso
[2025-08-18 12:25:59] Usuario: admin_wh | Acao: LOGOUT | Detalhes: Logout realizado - Nível: admin, Nome: Admin WH | Status: sucesso
[2025-08-18 12:26:07] Usuario: usuario_wh | Acao: LOGIN | Detalhes: Login realizado com sucesso - Nível: usuario, Nome: Usuário WH | Status: sucesso
[2025-08-18 12:26:07] Usuario: usuario_wh | Acao: ESCOLHER_EMPRESA | Detalhes: Empresa selecionada: empresa_wh.db | Status: sucesso
[2025-08-18 12:26:51] Usuario: usuario_wh | Acao: LOGOUT | Detalhes: Logout realizado - Nível: usuario, Nome: Usuário WH | Status: sucesso
[2025-08-18 12:26:58] Usuario: admin_wh | Acao: LOGIN | Detalhes: Login realizado com sucesso - Nível: admin, Nome: Admin WH | Status: sucesso
[2025-08-18 12:26:58] Usuario: admin_wh | Acao: ESCOLHER_EMPRESA | Detalhes: Empresa selecionada: empresa_wh.db | Status: sucesso
[2025-08-18 12:54:59] Usuario: admin_wh | Acao: criar_cabo | Detalhes: Cabo HDM-037 criado | Status: sucesso
[2025-08-18 12:54:59] Usuario: admin_wh | Acao: criar_conexao_cabo | Detalhes: Conexão de cabo 174 criada | Status: sucesso
[2025-08-18 13:04:13] Usuario: admin_wh | Acao: desconectar_cabo | Detalhes: Conexão de cabo 176 desconectada | Status: sucesso
[2025-08-18 15:09:05] Usuario: admin_wh | Acao: desconectar_cabo | Detalhes: Conexão de cabo 171 desconectada | Status: sucesso
[2025-08-18 15:11:33] Usuario: admin_wh | Acao: criar_conexao_cabo | Detalhes: Conexão de cabo 169 criada | Status: sucesso
[2025-08-18 15:13:56] Usuario: admin_wh | Acao: salvar_layout | Detalhes: sala_id=22 | Status: sucesso
[2025-08-18 15:22:18] Usuario: admin_wh | Acao: criar_cabo | Detalhes: Cabo HDM-038 criado | Status: sucesso
[2025-08-18 15:22:18] Usuario: admin_wh | Acao: criar_conexao_cabo | Detalhes: Conexão de cabo 175 criada | Status: sucesso
[2025-08-18 15:22:50] Usuario: admin_wh | Acao: criar_cabo | Detalhes: Cabo HDM-039 criado | Status: sucesso
[2025-08-18 15:22:50] Usuario: admin_wh | Acao: criar_conexao_cabo | Detalhes: Conexão de cabo 176 criada | Status: sucesso
[2025-08-18 15:43:02] Usuario: admin_wh | Acao: salvar_layout | Detalhes: sala_id=22 | Status: sucesso
[2025-08-18 15:43:33] Usuario: admin_wh | Acao: salvar_layout | Detalhes: sala_id=22 | Status: sucesso
[2025-08-18 15:49:34] Usuario: admin_wh | Acao: salvar_layout | Detalhes: sala_id=22 | Status: sucesso
[2025-08-19 08:21:59] Usuario: admin_wh | Acao: LOGIN | Detalhes: Login realizado com sucesso - Nível: admin, Nome: Admin WH | Status: sucesso
[2025-08-19 08:21:59] Usuario: admin_wh | Acao: ESCOLHER_EMPRESA | Detalhes: Empresa selecionada: empresa_wh.db | Status: sucesso
[2025-08-19 08:48:51] Usuario: admin_wh | Acao: salvar_layout | Detalhes: sala_id=22 | Status: sucesso
[2025-08-19 08:49:01] Usuario: admin_wh | Acao: salvar_layout | Detalhes: sala_id=22 | Status: sucesso
[2025-08-19 08:49:03] Usuario: admin_wh | Acao: salvar_layout | Detalhes: sala_id=22 | Status: sucesso
[2025-08-19 08:50:16] Usuario: admin_wh | Acao: salvar_layout | Detalhes: sala_id=22 | Status: sucesso
[2025-08-19 10:03:54] Usuario: admin_wh | Acao: salvar_layout | Detalhes: sala_id=22 | Status: sucesso
[2025-08-19 10:05:18] Usuario: admin_wh | Acao: salvar_layout | Detalhes: sala_id=22 | Status: sucesso
[2025-08-19 10:07:15] Usuario: admin_wh | Acao: salvar_layout | Detalhes: sala_id=22 | Status: sucesso
[2025-08-19 10:08:26] Usuario: admin_wh | Acao: salvar_layout | Detalhes: sala_id=22 | Status: sucesso
[2025-08-19 11:05:07] Usuario: admin_wh | Acao: salvar_layout | Detalhes: sala_id=22 | Status: sucesso
[2025-08-19 11:13:50] Usuario: admin_wh | Acao: salvar_layout | Detalhes: sala_id=1 | Status: sucesso
[2025-08-19 11:30:01] Usuario: admin_wh | Acao: salvar_layout | Detalhes: sala_id=1 | Status: sucesso
[2025-08-19 11:50:00] Usuario: admin_wh | Acao: salvar_layout | Detalhes: sala_id=4 | Status: sucesso
[2025-08-19 12:03:02] Usuario: admin_wh | Acao: salvar_layout | Detalhes: sala_id=5 | Status: sucesso
[2025-08-19 12:04:02] Usuario: admin_wh | Acao: salvar_layout | Detalhes: sala_id=5 | Status: sucesso
[2025-08-19 12:06:05] Usuario: admin_wh | Acao: salvar_layout | Detalhes: sala_id=5 | Status: sucesso
[2025-08-19 12:07:15] Usuario: admin_wh | Acao: salvar_layout | Detalhes: sala_id=5 | Status: sucesso
[2025-08-19 12:09:27] Usuario: admin_wh | Acao: salvar_layout | Detalhes: sala_id=5 | Status: sucesso
[2025-08-19 12:53:49] Usuario: admin_wh | Acao: salvar_layout | Detalhes: sala_id=6 | Status: sucesso
[2025-08-19 13:00:06] Usuario: admin_wh | Acao: salvar_layout | Detalhes: sala_id=7 | Status: sucesso
[2025-08-19 13:01:09] Usuario: admin_wh | Acao: salvar_layout | Detalhes: sala_id=7 | Status: sucesso
[2025-08-19 14:14:03] Usuario: admin_wh | Acao: salvar_layout | Detalhes: sala_id=8 | Status: sucesso
[2025-08-19 14:31:22] Usuario: admin_wh | Acao: salvar_layout | Detalhes: sala_id=9 | Status: sucesso
[2025-08-19 14:38:13] Usuario: admin_wh | Acao: salvar_layout | Detalhes: sala_id=13 | Status: sucesso
[2025-08-19 14:41:57] Usuario: admin_wh | Acao: salvar_layout | Detalhes: sala_id=14 | Status: sucesso
[2025-08-19 14:43:03] Usuario: admin_wh | Acao: salvar_layout | Detalhes: sala_id=14 | Status: sucesso
[2025-08-19 14:46:45] Usuario: admin_wh | Acao: salvar_layout | Detalhes: sala_id=21 | Status: sucesso
[2025-08-19 14:47:37] Usuario: admin_wh | Acao: LOGOUT | Detalhes: Logout realizado - Nível: admin, Nome: Admin WH | Status: sucesso
[2025-08-19 14:47:55] Usuario: sistema | Acao: LOGIN | Detalhes: Tentativa de login falhou para usuário: empresa_01 | Status: erro
[2025-08-19 14:48:11] Usuario: sistema | Acao: LOGIN | Detalhes: Tentativa de login falhou para usuário: empresa_01 | Status: erro
[2025-08-19 14:48:13] Usuario: sistema | Acao: LOGIN | Detalhes: Tentativa de login falhou para usuário: empresa_01 | Status: erro
[2025-08-19 14:48:38] Usuario: sistema | Acao: LOGIN | Detalhes: Tentativa de login falhou para usuário: admin_01 | Status: erro
[2025-08-19 14:49:07] Usuario: sistema | Acao: LOGIN | Detalhes: Tentativa de login falhou para usuário: admin_empresa_01 | Status: erro
[2025-08-19 14:49:12] Usuario: sistema | Acao: LOGIN | Detalhes: Tentativa de login falhou para usuário: empresa_01 | Status: erro
[2025-08-19 14:49:13] Usuario: sistema | Acao: LOGIN | Detalhes: Tentativa de login falhou para usuário: empresa_01 | Status: erro
[2025-08-19 14:49:24] Usuario: master | Acao: LOGIN | Detalhes: Login realizado com sucesso - Nível: master, Nome: Master Admin | Status: sucesso
[2025-08-19 14:50:37] Usuario: master | Acao: LOGOUT | Detalhes: Logout realizado - Nível: master, Nome: Master Admin | Status: sucesso
[2025-08-19 14:50:46] Usuario: sistema | Acao: LOGIN | Detalhes: Tentativa de login falhou para usuário: admin_01	 | Status: erro
[2025-08-19 14:50:55] Usuario: sistema | Acao: LOGIN | Detalhes: Tentativa de login falhou para usuário: admin_01	 | Status: erro
[2025-08-19 14:51:09] Usuario: master | Acao: LOGIN | Detalhes: Login realizado com sucesso - Nível: master, Nome: Master Admin | Status: sucesso
[2025-08-19 14:52:53] Usuario: master | Acao: LOGOUT | Detalhes: Logout realizado - Nível: master, Nome: Master Admin | Status: sucesso
[2025-08-19 14:53:05] Usuario: sistema | Acao: LOGIN | Detalhes: Tentativa de login falhou para usuário: andre_sirqueira | Status: erro
[2025-08-19 14:53:09] Usuario: andre_sirqueira | Acao: LOGIN | Detalhes: Login realizado com sucesso - Nível: admin, Nome: Andre Sirqueira | Status: sucesso
[2025-08-19 14:53:09] Usuario: andre_sirqueira | Acao: ESCOLHER_EMPRESA | Detalhes: Empresa selecionada: empresa_01.db | Status: sucesso
[2025-08-19 14:54:08] Usuario: andre_sirqueira | Acao: LOGOUT | Detalhes: Logout realizado - Nível: admin, Nome: Andre Sirqueira | Status: sucesso
[2025-08-19 14:54:14] Usuario: admin_wh | Acao: LOGIN | Detalhes: Login realizado com sucesso - Nível: admin, Nome: Admin WH | Status: sucesso
[2025-08-19 14:54:14] Usuario: admin_wh | Acao: ESCOLHER_EMPRESA | Detalhes: Empresa selecionada: empresa_wh.db | Status: sucesso
[2025-08-19 15:12:08] Usuario: admin_wh | Acao: criar_cabo | Detalhes: Cabo ETH-086 criado | Status: sucesso
[2025-08-19 15:12:08] Usuario: admin_wh | Acao: criar_conexao_cabo | Detalhes: Conexão de cabo 177 criada | Status: sucesso
[2025-08-19 15:12:30] Usuario: admin_wh | Acao: criar_cabo | Detalhes: Cabo ETH-087 criado | Status: sucesso
[2025-08-19 15:12:30] Usuario: admin_wh | Acao: criar_conexao_cabo | Detalhes: Conexão de cabo 178 criada | Status: sucesso
[2025-08-19 15:12:45] Usuario: admin_wh | Acao: criar_cabo | Detalhes: Cabo ETH-088 criado | Status: sucesso
[2025-08-19 15:12:45] Usuario: admin_wh | Acao: criar_conexao_cabo | Detalhes: Conexão de cabo 179 criada | Status: sucesso
[2025-08-19 15:14:01] Usuario: admin_wh | Acao: criar_cabo | Detalhes: Cabo ETH-089 criado | Status: sucesso
[2025-08-19 15:14:01] Usuario: admin_wh | Acao: criar_conexao_cabo | Detalhes: Conexão de cabo 180 criada | Status: sucesso
[2025-08-19 15:15:27] Usuario: admin_wh | Acao: criar_cabo | Detalhes: Cabo USB-033 criado | Status: sucesso
[2025-08-19 15:15:27] Usuario: admin_wh | Acao: criar_conexao_cabo | Detalhes: Conexão de cabo 181 criada | Status: sucesso
[2025-08-19 15:16:23] Usuario: admin_wh | Acao: criar_cabo | Detalhes: Cabo USB-034 criado | Status: sucesso
[2025-08-19 15:16:23] Usuario: admin_wh | Acao: criar_conexao_cabo | Detalhes: Conexão de cabo 182 criada | Status: sucesso
[2025-08-19 15:16:55] Usuario: admin_wh | Acao: criar_cabo | Detalhes: Cabo HDM-040 criado | Status: sucesso
[2025-08-19 15:16:55] Usuario: admin_wh | Acao: criar_conexao_cabo | Detalhes: Conexão de cabo 183 criada | Status: sucesso
[2025-08-19 15:19:58] Usuario: admin_wh | Acao: criar_cabo | Detalhes: Cabo USB-035 criado | Status: sucesso
[2025-08-19 15:19:58] Usuario: admin_wh | Acao: criar_conexao_cabo | Detalhes: Conexão de cabo 184 criada | Status: sucesso
[2025-08-19 15:20:35] Usuario: admin_wh | Acao: criar_cabo | Detalhes: Cabo USB-036 criado | Status: sucesso
[2025-08-19 15:20:36] Usuario: admin_wh | Acao: criar_conexao_cabo | Detalhes: Conexão de cabo 185 criada | Status: sucesso
[2025-08-19 15:25:54] Usuario: admin_wh | Acao: salvar_layout | Detalhes: sala_id=22 | Status: sucesso
[2025-08-19 15:27:19] Usuario: admin_wh | Acao: salvar_layout | Detalhes: sala_id=22 | Status: sucesso
[2025-08-19 15:53:09] Usuario: admin_wh | Acao: criar_cabo | Detalhes: Cabo USB-037 criado | Status: sucesso
[2025-08-19 15:53:09] Usuario: admin_wh | Acao: criar_conexao_cabo | Detalhes: Conexão de cabo 186 criada | Status: sucesso
[2025-08-19 15:53:57] Usuario: admin_wh | Acao: criar_cabo | Detalhes: Cabo USB-038 criado | Status: sucesso
[2025-08-19 15:53:57] Usuario: admin_wh | Acao: criar_conexao_cabo | Detalhes: Conexão de cabo 187 criada | Status: sucesso
[2025-08-19 15:54:29] Usuario: admin_wh | Acao: criar_cabo | Detalhes: Cabo USB-039 criado | Status: sucesso
[2025-08-19 15:54:29] Usuario: admin_wh | Acao: criar_conexao_cabo | Detalhes: Conexão de cabo 188 criada | Status: sucesso
[2025-08-19 15:54:57] Usuario: admin_wh | Acao: criar_cabo | Detalhes: Cabo HDM-041 criado | Status: sucesso
[2025-08-19 15:54:57] Usuario: admin_wh | Acao: criar_conexao_cabo | Detalhes: Conexão de cabo 189 criada | Status: sucesso
[2025-08-19 15:55:23] Usuario: admin_wh | Acao: criar_cabo | Detalhes: Cabo HDM-042 criado | Status: sucesso
[2025-08-19 15:55:23] Usuario: admin_wh | Acao: criar_conexao_cabo | Detalhes: Conexão de cabo 190 criada | Status: sucesso
[2025-08-19 16:01:45] Usuario: admin_wh | Acao: salvar_layout | Detalhes: sala_id=23 | Status: sucesso
[2025-08-19 16:03:08] Usuario: admin_wh | Acao: salvar_layout | Detalhes: sala_id=23 | Status: sucesso
[2025-08-20 08:01:59] Usuario: admin_wh | Acao: LOGIN | Detalhes: Login realizado com sucesso - Nível: admin, Nome: Admin WH | Status: sucesso
[2025-08-20 08:01:59] Usuario: admin_wh | Acao: ESCOLHER_EMPRESA | Detalhes: Empresa selecionada: empresa_wh.db | Status: sucesso
[2025-08-20 08:42:08] Usuario: admin_wh | Acao: criar_cabo | Detalhes: Cabo ETH-090 criado | Status: sucesso
[2025-08-20 08:42:08] Usuario: admin_wh | Acao: criar_conexao_cabo | Detalhes: Conexão de cabo 191 criada | Status: sucesso
[2025-08-20 08:43:08] Usuario: admin_wh | Acao: salvar_layout | Detalhes: sala_id=24 | Status: sucesso
[2025-08-20 08:44:17] Usuario: admin_wh | Acao: criar_cabo | Detalhes: Cabo ETH-091 criado | Status: sucesso
[2025-08-20 08:44:17] Usuario: admin_wh | Acao: criar_conexao_cabo | Detalhes: Conexão de cabo 192 criada | Status: sucesso
[2025-08-20 08:44:40] Usuario: admin_wh | Acao: criar_cabo | Detalhes: Cabo ETH-092 criado | Status: sucesso
[2025-08-20 08:44:40] Usuario: admin_wh | Acao: criar_conexao_cabo | Detalhes: Conexão de cabo 193 criada | Status: sucesso
[2025-08-20 08:49:14] Usuario: admin_wh | Acao: criar_cabo | Detalhes: Cabo USB-040 criado | Status: sucesso
[2025-08-20 08:49:14] Usuario: admin_wh | Acao: criar_conexao_cabo | Detalhes: Conexão de cabo 194 criada | Status: sucesso
[2025-08-20 08:50:03] Usuario: admin_wh | Acao: criar_cabo | Detalhes: Cabo USB-041 criado | Status: sucesso
[2025-08-20 08:50:03] Usuario: admin_wh | Acao: criar_conexao_cabo | Detalhes: Conexão de cabo 195 criada | Status: sucesso
[2025-08-20 08:50:52] Usuario: admin_wh | Acao: criar_cabo | Detalhes: Cabo USB-042 criado | Status: sucesso
[2025-08-20 08:50:52] Usuario: admin_wh | Acao: criar_conexao_cabo | Detalhes: Conexão de cabo 196 criada | Status: sucesso
[2025-08-20 08:51:24] Usuario: admin_wh | Acao: criar_cabo | Detalhes: Cabo HDM-043 criado | Status: sucesso
[2025-08-20 08:51:25] Usuario: admin_wh | Acao: criar_conexao_cabo | Detalhes: Conexão de cabo 197 criada | Status: sucesso
[2025-08-20 08:51:57] Usuario: admin_wh | Acao: criar_cabo | Detalhes: Cabo ETH-093 criado | Status: sucesso
[2025-08-20 08:51:57] Usuario: admin_wh | Acao: criar_conexao_cabo | Detalhes: Conexão de cabo 198 criada | Status: sucesso
[2025-08-20 08:54:13] Usuario: admin_wh | Acao: criar_cabo | Detalhes: Cabo HDM-044 criado | Status: sucesso
[2025-08-20 08:54:14] Usuario: admin_wh | Acao: criar_conexao_cabo | Detalhes: Conexão de cabo 199 criada | Status: sucesso
[2025-08-20 08:54:43] Usuario: admin_wh | Acao: criar_cabo | Detalhes: Cabo HDM-045 criado | Status: sucesso
[2025-08-20 08:54:43] Usuario: admin_wh | Acao: criar_conexao_cabo | Detalhes: Conexão de cabo 200 criada | Status: sucesso
[2025-08-20 08:55:43] Usuario: admin_wh | Acao: criar_cabo | Detalhes: Cabo USB-043 criado | Status: sucesso
[2025-08-20 08:55:43] Usuario: admin_wh | Acao: criar_conexao_cabo | Detalhes: Conexão de cabo 201 criada | Status: sucesso
[2025-08-20 08:56:28] Usuario: admin_wh | Acao: criar_cabo | Detalhes: Cabo USB-044 criado | Status: sucesso
[2025-08-20 08:56:28] Usuario: admin_wh | Acao: criar_conexao_cabo | Detalhes: Conexão de cabo 202 criada | Status: sucesso
[2025-08-20 08:59:26] Usuario: admin_wh | Acao: salvar_layout | Detalhes: sala_id=24 | Status: sucesso
[2025-08-20 09:00:23] Usuario: admin_wh | Acao: salvar_layout | Detalhes: sala_id=24 | Status: sucesso
[2025-08-20 09:01:14] Usuario: admin_wh | Acao: salvar_layout | Detalhes: sala_id=24 | Status: sucesso
[2025-08-20 09:37:26] Usuario: admin_wh | Acao: criar_cabo | Detalhes: Cabo ETH-094 criado | Status: sucesso
[2025-08-20 09:37:26] Usuario: admin_wh | Acao: criar_conexao_cabo | Detalhes: Conexão de cabo 203 criada | Status: sucesso
[2025-08-20 09:37:43] Usuario: admin_wh | Acao: criar_cabo | Detalhes: Cabo ETH-095 criado | Status: sucesso
[2025-08-20 09:37:43] Usuario: admin_wh | Acao: criar_conexao_cabo | Detalhes: Conexão de cabo 204 criada | Status: sucesso
[2025-08-20 09:37:56] Usuario: admin_wh | Acao: criar_cabo | Detalhes: Cabo ETH-096 criado | Status: sucesso
[2025-08-20 09:37:56] Usuario: admin_wh | Acao: criar_conexao_cabo | Detalhes: Conexão de cabo 205 criada | Status: sucesso
[2025-08-20 09:38:45] Usuario: admin_wh | Acao: salvar_layout | Detalhes: sala_id=25 | Status: sucesso
[2025-08-20 09:51:53] Usuario: admin_wh | Acao: salvar_layout | Detalhes: sala_id=25 | Status: sucesso
[2025-08-20 14:11:43] Usuario: admin_wh | Acao: salvar_layout | Detalhes: sala_id=24 | Status: sucesso
[2025-08-20 14:13:39] Usuario: admin_wh | Acao: salvar_layout | Detalhes: sala_id=24 | Status: sucesso
[2025-08-20 14:14:56] Usuario: admin_wh | Acao: criar_cabo | Detalhes: Cabo ETH-097 criado | Status: sucesso
